Exit Code,Latitude,Longitude,Station Name
Exit A,1.4403456612830383,103.80098952191813,ADMIRALTY MRT STATION
Exit B,1.440152396746762,103.80053346325835,ADMIRALTY MRT STATION
Exit C,1.4405962856579384,103.80054245816031,ADMIRALTY MRT STATION
Exit D,1.4405333880722966,103.80136453445112,ADMIRALTY MRT STATION
Exit A,1.316238485344709,103.88249665045747,ALJUNIED MRT STATION
Exit B,1.3164879303040784,103.88247288778244,ALJUNIED MRT STATION
Exit A,1.369464706505095,103.84993900074095,ANG MO KIO MRT STATION
Exit B,1.3696853221997212,103.84959610065526,ANG MO KIO MRT STATION
Exit C,1.3694405305965007,103.84934327370465,ANG MO KIO MRT STATION
Exit D,1.3698823752681695,103.84982457247968,ANG MO KIO MRT STATION
Exit A,1.3881853854521522,103.9054456307135,BAKAU LRT STATION
Exit B,1.3878407992569977,103.90548212404298,BAKAU LRT STATION
Exit A,1.3798533467645455,103.77259057420869,BANGKIT LRT STATION
Exit A,1.342248749216091,103.88025589326459,BARTLEY MRT STATION
Exit B,1.3435010615293341,103.8789086939245,BARTLEY MRT STATION
Exit A,1.2809674239716435,103.8587319247403,BAYFRONT MRT STATION
Exit B,1.2827052247082797,103.85975918022659,BAYFRONT MRT STATION
Exit C,1.2828349086889401,103.85959687218748,BAYFRONT MRT STATION
Exit D,1.2828343544709762,103.85949384661112,BAYFRONT MRT STATION
Exit E,1.2811046370918653,103.85844100365208,BAYFRONT MRT STATION
Exit 1,1.3118987186917346,103.94126172566517,BAYSHORE MRT STATION
Exit 2,1.3121838590996928,103.94067346766076,BAYSHORE MRT STATION
Exit 3,1.31356798026815,103.94072100418352,BAYSHORE MRT STATION
Exit 4,1.3135263973574927,103.94267591982259,BAYSHORE MRT STATION
Exit 5,1.3128967114776557,103.94258441308978,BAYSHORE MRT STATION
Exit A,1.3416961499328006,103.7759842962261,BEAUTY WORLD MRT STATION
Exit B,1.341582214549837,103.77545067944088,BEAUTY WORLD MRT STATION
Exit C,1.3399818737845794,103.7757615456262,BEAUTY WORLD MRT STATION
Exit A,1.3235686361563497,103.92915714309531,BEDOK MRT STATION
Exit B,1.3242683427611412,103.92967308999474,BEDOK MRT STATION
Exit C,1.3240746458654598,103.92940427968887,BEDOK MRT STATION
Exit A,1.3351262662136352,103.91804982398726,BEDOK NORTH MRT STATION
Exit B,1.3343724902032656,103.91913430266187,BEDOK NORTH MRT STATION
Exit B,1.3341660744472075,103.91906282344867,BEDOK NORTH MRT STATION
Exit C,1.3344225765515134,103.9178105260292,BEDOK NORTH MRT STATION
Exit A,1.336347760899778,103.93288682250619,BEDOK RESERVOIR MRT STATION
Exit B,1.3365549033286315,103.93348718985506,BEDOK RESERVOIR MRT STATION
Exit A,1.2991951960301853,103.85084338471715,BENCOOLEN MRT STATION
Exit B,1.2981994004556694,103.84956047759098,BENCOOLEN MRT STATION
Exit C,1.2976991176544332,103.8492717038725,BENCOOLEN MRT STATION
Exit A,1.3138525056222503,103.86307400593707,BENDEMEER MRT STATION
Exit B,1.3134807250255989,103.86321923143063,BENDEMEER MRT STATION
Exit A,1.350579598712016,103.8483049917219,BISHAN MRT STATION
